Status,Precio USD,Area m2,USD/m2,Ambientes,Direccion,Notas,URL
rejected,90000,50,1800,3,"Avenida Santa Fe 5075","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-impecable-3-ambientes-en-palermo-ubicacion-y-58896777.html
pending,83900,42,1998,3,"DONADO 2200. Entre Avenida olazabal y Mendoza","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-venta-departamento-3-amb-a-refaccionar-en-paseo-59080644.html
pending,76500,47,1628,3,"Bahía Blanca 2700","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-tres-ambientes-en-venta!-apto-credito!-58101000.html
pending,98000,64,1531,2,"avenida cabildo 4900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-nunez-capital-federal-57190815.html
pending,84000,52,1615,2,"Hamburgo 2900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-ph-2-ambientes-en-barrio-exclusivo-parque-chas-apto-58946238.html
pending,98000,43,2279,2,"Manuel Trelles 1900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-manuel-trelles-1900-depto-2-ambientes-a-estrenar-58618170.html
pending,93000,49,1898,2,"Avenida Francisco Beiró 5252","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-2-ambientes-reciclado-a-nuevo!-58632724.html
pending,78990,48,1646,2,"Roosevelt  al 5000","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-villa-urquiza-59017150.html
pending,99000,55,1800,3,"Segurola 3200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-oportunidad-en-devoto-3-amb-sum-usd-99k-59078151.html
rejected,87000,40,2175,2,"Avenida Las Heras 2012","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-de-2-ambientes-en-recoleta-59105738.html
rejected,95000,40,2375,2,"Aguero  1229 2 C","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-recoleta-57072073.html
pending,73000,51,1431,3,"Jorge Newbery al 4500 - Departamento de 3 Ambientes con Balcón y sin Expensas en Venta en Chacarita","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-de-3-ambientes-con-balcon-y-sin-expensas-59022880.html
pending,83000,40,2075,2,"Avenida Lope de Vega 3275","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-ph-2-ambientes-sin-expensas.-58602423.html
pending,87000,52,1673,2,"Av. Alvarez Jonte 1800","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-espectacular-2-amb-con-balcon.-vista-abierta.-paternal-57070312.html
rejected,,146,,,"Cerrito 1054","",https://www.zonaprop.com.ar/propiedades/clasificado/veclocin-posibilidad-de-venta-o-alquiler!-se-escuchan-ofertas-54427790.html
pending,99000,65,1523,4,"Rojas 1300","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-4-ambientes-zona-cid-campeador-58415462.html
rejected,98000,50,1960,1,"Montañeses al 2200","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-departamento-en-venta-en-belgrano-apto-profesional-con-56867841.html
pending,74000,43,1721,2,"Triunvirato al 3500","",https://www.zonaprop.com.ar/propiedades/clasificado/veclphin-excelente-ph-en-villa-urquiza-58118077.html
rejected,,86,,4,"Billinghurst 900","",https://www.zonaprop.com.ar/propiedades/clasificado/veclapin-amplio-depto.-de-4-ambientes-con-dependencia-o-4-49850654.html
